UF,Nome_UF,Mesorregião Geográfica,Nome_Mesorregião,Microrregião Geográfica,Nome_Microrregião,Município,Código Município Completo,Nome_Município,LONG,LAT,ALT
11,Rondônia,01,Madeira-Guaporé,001,Porto Velho,00338,1100338,Nova Mamoré,-65.329149023,-10.411771294,150.93
11,Rondônia,02,Leste Rondoniense,004,Ji-Paraná,01435,1101435,Nova União,-62.5550893,-10.915532041,241.49
11,Rondônia,02,Leste Rondoniense,006,Cacoal,00502,1100502,Novo Horizonte do Oeste,-61.994387662,-11.70974292,229.51
11,Rondônia,02,Leste Rondoniense,004,Ji-Paraná,00155,1100155,Ouro Preto do Oeste,-62.26105519,-10.7235739,252.16
11,Rondônia,02,Leste Rondoniense,007,Vilhena,01450,1101450,Parecis,-61.597997972,-12.17982705,296.28
11,Rondônia,02,Leste Rondoniense,007,Vilhena,00189,1100189,Pimenta Bueno,-61.18366567,-11.6775,186.17
11,Rondônia,02,Leste Rondoniense,008,Colorado do Oeste,01468,1101468,Pimenteiras do Oeste,-61.044379002,-13.476562002,170.25
11,Rondônia,01,Madeira-Guaporé,001,Porto Velho,00205,1100205,Porto Velho,-63.831445654,-8.7688,86.89
11,Rondônia,02,Leste Rondoniense,004,Ji-Paraná,00254,1100254,Presidente Médici,-61.909438683,-11.173205016,178.22
11,Rondônia,02,Leste Rondoniense,007,Vilhena,01476,1101476,Primavera de Rondônia,-61.316546242,-11.825706954,244.56
11,Rondônia,02,Leste Rondoniense,003,Ariquemes,00262,1100262,Rio Crespo,-62.900010365,-9.7055367097,124.32
11,Rondônia,02,Leste Rondoniense,006,Cacoal,00288,1100288,Rolim de Moura,-61.785780935,-11.722258913,226.71
11,Rondônia,02,Leste Rondoniense,006,Cacoal,00296,1100296,Santa Luzia D'Oeste,-61.773305463,-11.90842333,265.23
11,Rondônia,02,Leste Rondoniense,007,Vilhena,01484,1101484,São Felipe D'Oeste,-61.512508113,-11.914389354,269.72
11,Rondônia,01,Madeira-Guaporé,002,Guajará-Mirim,01492,1101492,São Francisco do Guaporé,-63.57086471,-12.063798412,165.69
11,Rondônia,02,Leste Rondoniense,005,Alvorada D'Oeste,00320,1100320,São Miguel do Guaporé,-62.720063481,-11.69948974,191.08
11,Rondônia,02,Leste Rondoniense,005,Alvorada D'Oeste,01500,1101500,Seringueiras,-63.038760997,-11.76711663,185.83
11,Rondônia,02,Leste Rondoniense,004,Ji-Paraná,01559,1101559,Teixeirópolis,-62.255922253,-10.932169286,191.3
11,Rondônia,02,Leste Rondoniense,004,Ji-Paraná,01609,1101609,Theobroma,-62.345145529,-10.248730552,191.59
11,Rondônia,02,Leste Rondoniense,004,Ji-Paraná,01708,1101708,Urupá,-62.370632453,-11.128545275,197.17
11,Rondônia,02,Leste Rondoniense,003,Ariquemes,01757,1101757,Vale do Anari,-62.176823442,-9.851392708,157.66
11,Rondônia,02,Leste Rondoniense,004,Ji-Paraná,01807,1101807,Vale do Paraíso,-62.134390356,-10.431052684,153.99
11,Rondônia,02,Leste Rondoniense,007,Vilhena,00304,1100304,Vilhena,-60.138583866,-12.741373471,595.09
12,Acre,02,Vale do Acre,004,Rio Branco,00013,1200013,Acrelândia,-67.05231658,-10.073793892,205.89
12,Acre,02,Vale do Acre,005,Brasiléia,00054,1200054,Assis Brasil,-69.563459174,-10.94286568,234.86
12,Acre,02,Vale do Acre,005,Brasiléia,00104,1200104,Brasiléia,-68.747943425,-11.016411019,188.32
12,Acre,02,Vale do Acre,004,Rio Branco,00138,1200138,Bujari,-67.951859279,-9.8200196267,198.17
12,Acre,02,Vale do Acre,004,Rio Branco,00179,1200179,Capixaba,-67.673507971,-10.569767708,212.3
12,Acre,01,Vale do Juruá,001,Cruzeiro do Sul,00203,1200203,Cruzeiro do Sul,-72.672531317,-7.630690005,183.07
12,Acre,02,Vale do Acre,005,Brasiléia,00252,1200252,Epitaciolândia,-68.744868066,-11.028239827,206.03
12,Acre,01,Vale do Juruá,002,Tarauacá,00302,1200302,Feijó,-70.353983608,-8.1602,159.82
12,Acre,01,Vale do Juruá,002,Tarauacá,00328,1200328,Jordão,-71.950875124,-9.1933578598,264.97
12,Acre,01,Vale do Juruá,001,Cruzeiro do Sul,00336,1200336,Mâncio Lima,-72.916501026,-7.5932225938,187.06
12,Acre,02,Vale do Acre,003,Sena Madureira,00344,1200344,Manoel Urbano,-69.259944577,-8.8363177368,162.13
12,Acre,01,Vale do Juruá,001,Cruzeiro do Sul,00351,1200351,Marechal Thaumaturgo,-72.790265908,-8.9535911231,214.91
12,Acre,02,Vale do Acre,004,Rio Branco,00385,1200385,Plácido de Castro,-67.188260086,-10.335133282,129.18
12,Acre,02,Vale do Acre,004,Rio Branco,00807,1200807,Porto Acre,-67.540590083,-9.6008582311,134.32
12,Acre,01,Vale do Juruá,001,Cruzeiro do Sul,00393,1200393,Porto Walter,-72.742333964,-8.2666663628,201.8
12,Acre,02,Vale do Acre,004,Rio Branco,00401,1200401,Rio Branco,-67.8105287,-9.9782987527,137.86
12,Acre,01,Vale do Juruá,001,Cruzeiro do Sul,00427,1200427,Rodrigues Alves,-72.647854914,-7.7336020337,189.58
12,Acre,02,Vale do Acre,003,Sena Madureira,00435,1200435,Santa Rosa do Purus,-70.486496893,-9.4434065374,216.7
